Number of Bedrooms,House type,Postcode,Size(Sq M),Price
5,House,S8 2RP,70,"£867,000"
3,flat,s2 3qz,50,£410 pppM
7,Manor,S17 3AX,,"£2,000,000"
4,flat,s14tn,100,"6,000.00"
6,House,S10 2FQ,,£91 pppw
1,Flat,S1 2DW,43,£450 pcm
3,Penthouse,S2 4DH,200,"£3,500 pcm"
5,House,S10 3HY,325,"£1,400,000"
1,Flat,S1 4GH,43,£500 pcm
4,Flat,S2 4UF,69,£410
5,Detached,S60 8AL,110,"£1,500,000"
7,flat,S3 7WT,,£95 ppw
5,Flat,S11 8FJ,140,£89 ppw
12,Mansion,C12 8BW,300,"£3,200,000"
3,Terraced,DE7 8AH,134,"£155,000"
1,Tent,S2 3RT,7,£20
5,Terrace House,s11 8T5,25,£290
5,Terrace House,S2 8JL,25,£310
4,Detatched,17 1dq,30,"327,500"
4,terraced,S2 4EG,140,"£173,000"
3,semi-detatched,S5 7PS,20,"106,00"
4,Terraced House,S10 2FQ,158,"300,000"
2,Flat,S12 ,687,"£89,000"
3,Terraced,S6 3GQ,165,"£100,000"
4,Semi detached,S8 3GQ,200,"110,000"
1,Studio apartment,S11 8NL,40,"40,000"
4,Detached House,S6 4EU,130,"365,000"
7,house,S7,,£110 ppw
1,carboard box,s1,3,"600,000"
1,Flat,S11 8AH,,£725 pcm
5,Flat,S1 4RE,75,"£85,000"
8,Flat,S3 7WT,,£87 pppw
3,detatched,S10 5PT,30,"380,000"
3,semi-detached,S20 1BU,24,"169,950"
3,Semi Detached,NG347WW,79.2,175000
2,terraced,S35 0FZ,106,"£125,000"
12,terraced house,W1K,1371,54500000
13,Shed,S1 1AA,2,£310
54.1,House,AAAAAAAAAAAAAAAA,0xAB,"$400,000"
3,Detached,LN2 1EH,25,"£269,950"
1,Apartment,YO1 6LF,51,"£200,000"
8,Manor,TQ7 1BG,133546,"£5,000,000"
3,Semi-Detached,S1 2PY,150,£90 ppw
7,Detached House,S10 3TE,360,"1,600,000"
4,Detached House,sk7 4af,250,"480,000"
2,Flat,S1,,£500 pcm
1,flat,S3 8RR,,£79 ppw
8,Flat,S1 3YF,200,£110 ppw
20,Manor,NG18 5ET,5600,"£31,000,000"
5,house,S8 7DN,,"272,000"
2,Flat,S6,,£475 pcm
5,House,S17 3GA,258,
2,Bungalow,WF4 2RJ,30,"£475,000"
8,House,S10 1BD,160,"£360,000"
6,Terraced,S11 8RR,150,"300,000"
3,Terraced,LN2 1AS,20,"£125,000"
4,Terraced,LN5 7AW,25,£295
8,Detached,ca 90077,3809,$78000000
3,detached,s11,1550,"£425,000"
1,Lighthouse,BD8 LMR,25,"£412,000"
